TOK,SHOT,TIME,PHASE,PGASA,RGEO,AMIN,KAPPA,SPLASMA,CONFIG,IGRADB,WALMAT,DIVMAT,LIMMAT,EVAP,BT,IP,Q95,NEL,ZEFF,DIVNAME,PL,PLTH,PFLOSS,PRADCORE,DIVCON,FRACNMIN,LHTIME,AUXHEAT,SELEC2024
 CMOD,1160930022,1.05059, LH,2.0000,0.673052,0.221218,1.67723,7.47263, SN,1, MO, MO, MO,,7.60701,1778690,3.23711,2.87E+20,0, DIVNOSE,3964420,3964420,0,, VERTPLT,,1.05159,IC,1
AUG,23250,1.57,LH,2.0000,1.621,0.5176,1.752,44.56,SN(L),1,W,W,W,BOR,-2.883,1004000,5,4.50E+19,0,DIV-IIc,1685000,1660000,0,457100,STANDARD,1.12425,1.579,EC,1
AUG,23251,1.599,LH,2.0000,1.619,0.5191,1.748,44.57,SN(L),1,W,W,W,BOR,-2.882,1003000,5.037,4.56E+19,0,DIV-IIc,1710000,1650000,0,691700,STANDARD,1.14,1.607,EC,1
AUG,23252,1.809,LHST,2.0000,1.614,0.5245,1.741,44.7,SN(L),1,W,W,W,BOR,-2.883,998700,5.154,4.77E+19,0,DIV-IIc,657400,1300000,0,713200,STANDARD,1.1925,1.818,NONE,1
AUG,23268,1.919,LH,2.0000,1.607,0.5312,1.711,44.46,SN(L),1,W,W,W,BOR,-2.292,1000000,4.085,1.97E+19,0,DIV-IIc,2235000,2250000,0,625500,STANDARD,0.49125,1.929,EC,0
AUG,23268,2.05,LHST,2.0000,1.608,0.5304,1.709,44.4,SN(L),1,W,W,W,BOR,-2.292,999700,4.062,1.96E+19,0,DIV-IIc,2228000,2250000,0,672500,STANDARD,0.49,1.929,EC,0
AUG,23272,3.19,LH,2.0000,1.617,0.5315,1.7,44.58,SN(L),1,W,W,W,BOR,-2.293,999600,4.018,3.30E+19,0,DIV-IIc,1457000,1420000,0,414000,STANDARD,0.826,3.2,EC,0
AUG,23365,1.839,LH,2.0000,1.624,0.525,1.713,44.57,SN(L),1,W,W,W,BOR,-2.281,1002000,3.89,2.06E+19,0,DIV-IIc,1879000,1960000,0,515200,STANDARD,0.5155,1.847,EC,0
AUG,23366,3.14,LH,2.0000,1.621,0.5278,1.71,44.62,SN(L),1,W,W,W,BOR,-2.252,1000000,3.883,2.17E+19,0,DIV-IIc,1997000,2100000,0,644700,STANDARD,0.5425,3.151,EC,0
AUG,23366,3.625,LHST,2.0000,1.622,0.5265,1.716,44.65,SN(L),1,W,W,W,BOR,-2.252,999400,3.886,2.43E+19,0,DIV-IIc,1679000,1680000,3270,427000,STANDARD,0.60825,3.151,NBEC,0
